id,provider_id,provider_code,capability_code,operation_type,feature_codes,display_name,description,model_name,model_display_name,model_version,endpoint_path,unit_type,unit_cost_points,minimum_points,pricing_unit,pricing_json,runtime_config_json,config_json,is_default,allow_user_select,enabled,priority,created_by,updated_by,created_at,updated_at
7,1,openrouter,image_to_video,video,{image_to_video},OpenRouter Image To Video,Create video from prompt plus reference image/frame using OpenRouter Video API.,google/veo-3.1,Google Veo 3.1,,/images,second,1.000000,1.000000,second,{},"{""async"": true, ""method"": ""POST"", ""polling"": true, ""endpoint"": ""/videos"", ""maxDuration"": 30, ""minDuration"": 5, ""supportsPrompt"": true, ""defaultDuration"": 8, ""defaultResolution"": ""720p"", ""defaultAspectRatio"": ""16:9"", ""supportsAudioReference"": ""provider_dependent"", ""supportsImageReference"": true, ""supportsVideoReference"": ""provider_dependent"", ""initiallyDisabledUntilTested"": true}","{""async"": true, ""method"": ""POST"", ""polling"": true, ""endpoint"": ""/videos"", ""maxDuration"": 30, ""minDuration"": 5, ""supportsPrompt"": true, ""defaultDuration"": 8, ""defaultResolution"": ""720p"", ""defaultAspectRatio"": ""16:9"", ""supportsAudioReference"": ""provider_dependent"", ""supportsImageReference"": true, ""supportsVideoReference"": ""provider_dependent"", ""initiallyDisabledUntilTested"": true}",f,t,t,10,,ai_core_reset,2026-07-08 12:59:40.850591,2026-07-22 14:58:54.169322
4,1,openrouter,poster_generation,image,{poster_generation},OpenRouter Poster Generation,Generate posters or thumbnails using OpenRouter image models.,bytedance-seed/seedream-4.5,Seedream 4.5,,/images,image,3.000000,3.000000,image,{},"{""method"": ""POST"", ""quality"": ""high"", ""endpoint"": ""/images"", ""resolution"": ""1K"", ""outputFormat"": ""png"", ""defaultQuality"": ""high"", ""supportsPrompt"": true, ""defaultResolution"": ""1K"", ""supportsStreaming"": false, ""defaultAspectRatio"": ""16:9"", ""defaultOutputFormat"": ""png"", ""supportsHttpReference"": true, ""supportsReferenceImage"": true, ""supportsBase64Reference"": true}","{""method"": ""POST"", ""quality"": ""high"", ""endpoint"": ""/images"", ""resolution"": ""1K"", ""outputFormat"": ""png"", ""defaultQuality"": ""high"", ""supportsPrompt"": true, ""defaultResolution"": ""1K"", ""supportsStreaming"": false, ""defaultAspectRatio"": ""16:9"", ""defaultOutputFormat"": ""png"", ""supportsHttpReference"": true, ""supportsReferenceImage"": true, ""supportsBase64Reference"": true}",f,t,t,20,,ai_core_reset,2026-07-08 12:59:40.850591,2026-07-22 14:58:54.169322
6,1,openrouter,text_to_video,video,{text_to_video},OpenRouter Prompt To Video,Create video from text prompt and optional reference image using OpenRouter Video API.,google/veo-3.1,Google Veo 3.1,,/images,second,1.000000,1.000000,second,{},"{""async"": true, ""method"": ""POST"", ""polling"": true, ""endpoint"": ""/videos"", ""maxDuration"": 30, ""minDuration"": 5, ""supportsPrompt"": true, ""defaultDuration"": 8, ""defaultResolution"": ""720p"", ""defaultAspectRatio"": ""16:9"", ""supportsAudioReference"": ""provider_dependent"", ""supportsImageReference"": true, ""supportsVideoReference"": ""provider_dependent"", ""initiallyDisabledUntilTested"": true}","{""async"": true, ""method"": ""POST"", ""polling"": true, ""endpoint"": ""/videos"", ""maxDuration"": 30, ""minDuration"": 5, ""supportsPrompt"": true, ""defaultDuration"": 8, ""defaultResolution"": ""720p"", ""defaultAspectRatio"": ""16:9"", ""supportsAudioReference"": ""provider_dependent"", ""supportsImageReference"": true, ""supportsVideoReference"": ""provider_dependent"", ""initiallyDisabledUntilTested"": true}",t,t,t,10,,ai_core_reset,2026-07-08 12:59:40.850591,2026-07-22 14:58:54.169322
5,1,openrouter,thumbnail_generation,image,{thumbnail_generation},OpenRouter Thumbnail Generation,Generate service thumbnails using OpenRouter image models.,bytedance-seed/seedream-4.5,Seedream 4.5,,/images,image,3.000000,3.000000,image,{},"{""method"": ""POST"", ""quality"": ""high"", ""endpoint"": ""/images"", ""resolution"": ""1K"", ""outputFormat"": ""png"", ""defaultQuality"": ""high"", ""supportsPrompt"": true, ""defaultResolution"": ""1K"", ""supportsStreaming"": false, ""defaultAspectRatio"": ""9:16"", ""defaultOutputFormat"": ""png"", ""supportsHttpReference"": true, ""supportsReferenceImage"": true, ""supportsBase64Reference"": true}","{""method"": ""POST"", ""quality"": ""high"", ""endpoint"": ""/images"", ""resolution"": ""1K"", ""outputFormat"": ""png"", ""defaultQuality"": ""high"", ""supportsPrompt"": true, ""defaultResolution"": ""1K"", ""supportsStreaming"": false, ""defaultAspectRatio"": ""9:16"", ""defaultOutputFormat"": ""png"", ""supportsHttpReference"": true, ""supportsReferenceImage"": true, ""supportsBase64Reference"": true}",f,t,t,20,,ai_core_reset,2026-07-08 12:59:40.850591,2026-07-22 14:58:54.169322
18,4,yescale_task_image,avatar_generation,image,{avatar_generation},YEScale avatar_generation / cheap / gpt-image,,gpt-image,,,/task/submit,request,0.019200,0.000000,request,{},"{""size"": ""1024x1024"", ""quality"": ""low"", ""background"": ""transparent"", ""cost_source"": ""configured_tariff"", ""routing_role"": ""cheap"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""gpt_image"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.024}","{""size"": ""1024x1024"", ""quality"": ""low"", ""background"": ""transparent"", ""cost_source"": ""configured_tariff"", ""routing_role"": ""cheap"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""gpt_image"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.024}",f,t,t,100,manual_sql,ai_core_reset,2026-07-16 02:45:32.231162,2026-07-22 14:58:54.169322
17,4,yescale_task_image,avatar_generation,image,{avatar_generation},YEScale avatar_generation / default / nano-banana-2,,nano-banana-2,,,/task/submit,request,0.064000,0.000000,request,{},"{""size"": ""1K"", ""quality"": null, ""thinking"": ""minimal"", ""cost_source"": ""configured_tariff"", ""model_sizes"": {""seedream-5"": ""2K""}, ""routing_role"": ""default"", ""google_search"": ""disable"", ""point_formula"": ""usd * 8000 / 10000"", ""model_profiles"": {""seedream-5"": ""seedream_5""}, ""verified_async"": true, ""adapter_profile"": ""nano_banana_2"", ""fallback_models"": [""seedream-5""], ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.08, ""transient_terminal_error_codes"": [""rate_limit"", ""temporarily_unavailable""]}","{""size"": ""1K"", ""quality"": null, ""thinking"": ""minimal"", ""cost_source"": ""configured_tariff"", ""model_sizes"": {""seedream-5"": ""2K""}, ""routing_role"": ""default"", ""google_search"": ""disable"", ""point_formula"": ""usd * 8000 / 10000"", ""model_profiles"": {""seedream-5"": ""seedream_5""}, ""verified_async"": true, ""adapter_profile"": ""nano_banana_2"", ""fallback_models"": [""seedream-5""], ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.08, ""transient_terminal_error_codes"": [""rate_limit"", ""temporarily_unavailable""]}",f,t,t,100,manual_sql,ai_core_reset,2026-07-16 02:45:32.231162,2026-07-22 14:58:54.169322
19,4,yescale_task_image,avatar_generation,image,{avatar_generation},YEScale avatar_generation / backup / seedream-5,,seedream-5,,,/task/submit,request,0.052000,0.000000,request,{},"{""size"": ""2K"", ""quality"": null, ""cost_source"": ""configured_tariff"", ""routing_role"": ""backup"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""seedream_5"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.065}","{""size"": ""2K"", ""quality"": null, ""cost_source"": ""configured_tariff"", ""routing_role"": ""backup"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""seedream_5"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.065}",f,f,t,100,manual_sql,ai_core_reset,2026-07-16 02:45:32.231162,2026-07-22 14:58:54.169322
24,4,yescale_task_image,character_generation,image,{character_generation},YEScale character_generation / cheap / gpt-image,,gpt-image,,,/task/submit,request,0.019200,0.000000,request,{},"{""size"": ""1024x1024"", ""quality"": ""low"", ""background"": ""transparent"", ""cost_source"": ""configured_tariff"", ""routing_role"": ""cheap"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""gpt_image"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.024}","{""size"": ""1024x1024"", ""quality"": ""low"", ""background"": ""transparent"", ""cost_source"": ""configured_tariff"", ""routing_role"": ""cheap"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""gpt_image"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.024}",f,t,t,100,manual_sql,ai_core_reset,2026-07-16 02:45:32.231162,2026-07-22 14:58:54.169322
23,4,yescale_task_image,character_generation,image,{character_generation},YEScale character_generation / default / nano-banana-2,,nano-banana-2,,,/task/submit,request,0.064000,0.000000,request,{},"{""size"": ""1K"", ""quality"": null, ""thinking"": ""minimal"", ""cost_source"": ""configured_tariff"", ""model_sizes"": {""seedream-5"": ""2K""}, ""routing_role"": ""default"", ""google_search"": ""disable"", ""point_formula"": ""usd * 8000 / 10000"", ""model_profiles"": {""seedream-5"": ""seedream_5""}, ""verified_async"": true, ""adapter_profile"": ""nano_banana_2"", ""fallback_models"": [""seedream-5""], ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.08, ""transient_terminal_error_codes"": [""rate_limit"", ""temporarily_unavailable""]}","{""size"": ""1K"", ""quality"": null, ""thinking"": ""minimal"", ""cost_source"": ""configured_tariff"", ""model_sizes"": {""seedream-5"": ""2K""}, ""routing_role"": ""default"", ""google_search"": ""disable"", ""point_formula"": ""usd * 8000 / 10000"", ""model_profiles"": {""seedream-5"": ""seedream_5""}, ""verified_async"": true, ""adapter_profile"": ""nano_banana_2"", ""fallback_models"": [""seedream-5""], ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.08, ""transient_terminal_error_codes"": [""rate_limit"", ""temporarily_unavailable""]}",f,t,t,100,manual_sql,ai_core_reset,2026-07-16 02:45:32.231162,2026-07-22 14:58:54.169322
25,4,yescale_task_image,character_generation,image,{character_generation},YEScale character_generation / backup / seedream-5,,seedream-5,,,/task/submit,request,0.052000,0.000000,request,{},"{""size"": ""2K"", ""quality"": null, ""cost_source"": ""configured_tariff"", ""routing_role"": ""backup"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""seedream_5"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.065}","{""size"": ""2K"", ""quality"": null, ""cost_source"": ""configured_tariff"", ""routing_role"": ""backup"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""seedream_5"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.065}",f,f,t,100,manual_sql,ai_core_reset,2026-07-16 02:45:32.231162,2026-07-22 14:58:54.169322
21,4,yescale_task_image,chibi_avatar_generation,image,{chibi_avatar_generation},YEScale chibi_avatar_generation / cheap / gpt-image,,gpt-image,,,/task/submit,request,0.019200,0.000000,request,{},"{""size"": ""1024x1024"", ""quality"": ""low"", ""background"": ""transparent"", ""cost_source"": ""configured_tariff"", ""routing_role"": ""cheap"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""gpt_image"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.024}","{""size"": ""1024x1024"", ""quality"": ""low"", ""background"": ""transparent"", ""cost_source"": ""configured_tariff"", ""routing_role"": ""cheap"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""gpt_image"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.024}",f,t,t,100,manual_sql,ai_core_reset,2026-07-16 02:45:32.231162,2026-07-22 14:58:54.169322
20,4,yescale_task_image,chibi_avatar_generation,image,{chibi_avatar_generation},YEScale chibi_avatar_generation / default / nano-banana-2,,nano-banana-2,,,/task/submit,request,0.064000,0.000000,request,{},"{""size"": ""1K"", ""quality"": null, ""thinking"": ""minimal"", ""cost_source"": ""configured_tariff"", ""model_sizes"": {""seedream-5"": ""2K""}, ""routing_role"": ""default"", ""google_search"": ""disable"", ""point_formula"": ""usd * 8000 / 10000"", ""model_profiles"": {""seedream-5"": ""seedream_5""}, ""verified_async"": true, ""adapter_profile"": ""nano_banana_2"", ""fallback_models"": [""seedream-5""], ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.08, ""transient_terminal_error_codes"": [""rate_limit"", ""temporarily_unavailable""]}","{""size"": ""1K"", ""quality"": null, ""thinking"": ""minimal"", ""cost_source"": ""configured_tariff"", ""model_sizes"": {""seedream-5"": ""2K""}, ""routing_role"": ""default"", ""google_search"": ""disable"", ""point_formula"": ""usd * 8000 / 10000"", ""model_profiles"": {""seedream-5"": ""seedream_5""}, ""verified_async"": true, ""adapter_profile"": ""nano_banana_2"", ""fallback_models"": [""seedream-5""], ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.08, ""transient_terminal_error_codes"": [""rate_limit"", ""temporarily_unavailable""]}",f,t,t,100,manual_sql,ai_core_reset,2026-07-16 02:45:32.231162,2026-07-22 14:58:54.169322
22,4,yescale_task_image,chibi_avatar_generation,image,{chibi_avatar_generation},YEScale chibi_avatar_generation / backup / seedream-5,,seedream-5,,,/task/submit,request,0.052000,0.000000,request,{},"{""size"": ""2K"", ""quality"": null, ""cost_source"": ""configured_tariff"", ""routing_role"": ""backup"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""seedream_5"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.065}","{""size"": ""2K"", ""quality"": null, ""cost_source"": ""configured_tariff"", ""routing_role"": ""backup"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""seedream_5"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.065}",f,f,t,100,manual_sql,ai_core_reset,2026-07-16 02:45:32.231162,2026-07-22 14:58:54.169322
16,4,yescale_task_image,image_generation,image,{image_generation},YEScale image_generation / cheap / gpt-image,,gpt-image,,,/task/submit,request,0.019200,0.000000,request,{},"{""size"": ""1024x1024"", ""quality"": ""low"", ""background"": ""transparent"", ""cost_source"": ""configured_tariff"", ""routing_role"": ""cheap"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""gpt_image"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.024}","{""size"": ""1024x1024"", ""quality"": ""low"", ""background"": ""transparent"", ""cost_source"": ""configured_tariff"", ""routing_role"": ""cheap"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""gpt_image"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.024}",f,t,t,100,manual_sql,ai_core_reset,2026-07-16 00:42:01.721612,2026-07-22 14:58:54.169322
14,4,yescale_task_image,image_generation,image,{image_generation},YEScale image_generation / default / nano-banana-2,,nano-banana-2,,,/task/submit,request,0.064000,0.000000,request,{},"{""size"": ""1K"", ""quality"": null, ""thinking"": ""minimal"", ""cost_source"": ""configured_tariff"", ""model_sizes"": {""seedream-5"": ""2K""}, ""routing_role"": ""default"", ""google_search"": ""disable"", ""point_formula"": ""usd * 8000 / 10000"", ""model_profiles"": {""seedream-5"": ""seedream_5""}, ""verified_async"": true, ""adapter_profile"": ""nano_banana_2"", ""fallback_models"": [""seedream-5""], ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.08, ""transient_terminal_error_codes"": [""rate_limit"", ""temporarily_unavailable""]}","{""size"": ""1K"", ""quality"": null, ""thinking"": ""minimal"", ""cost_source"": ""configured_tariff"", ""model_sizes"": {""seedream-5"": ""2K""}, ""routing_role"": ""default"", ""google_search"": ""disable"", ""point_formula"": ""usd * 8000 / 10000"", ""model_profiles"": {""seedream-5"": ""seedream_5""}, ""verified_async"": true, ""adapter_profile"": ""nano_banana_2"", ""fallback_models"": [""seedream-5""], ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.08, ""transient_terminal_error_codes"": [""rate_limit"", ""temporarily_unavailable""]}",t,t,t,100,manual_sql,ai_core_reset,2026-07-16 00:42:01.721612,2026-07-22 14:58:54.169322
15,4,yescale_task_image,image_generation,image,{image_generation},YEScale image_generation / backup / seedream-5,,seedream-5,,,/task/submit,request,0.052000,0.000000,request,{},"{""size"": ""2K"", ""quality"": null, ""cost_source"": ""configured_tariff"", ""routing_role"": ""backup"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""seedream_5"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.065}","{""size"": ""2K"", ""quality"": null, ""cost_source"": ""configured_tariff"", ""routing_role"": ""backup"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""seedream_5"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.065}",f,f,t,100,manual_sql,ai_core_reset,2026-07-16 00:42:01.721612,2026-07-22 14:58:54.169322
33,4,yescale_task_image,poster_generation,image,{poster_generation},YEScale poster_generation / cheap / gpt-image,,gpt-image,,,/task/submit,request,0.019200,0.000000,request,{},"{""size"": ""1024x1024"", ""quality"": ""low"", ""background"": ""transparent"", ""cost_source"": ""configured_tariff"", ""routing_role"": ""cheap"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""gpt_image"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.024}","{""size"": ""1024x1024"", ""quality"": ""low"", ""background"": ""transparent"", ""cost_source"": ""configured_tariff"", ""routing_role"": ""cheap"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""gpt_image"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.024}",f,t,t,100,manual_sql,ai_core_reset,2026-07-16 02:45:32.231162,2026-07-22 14:58:54.169322
32,4,yescale_task_image,poster_generation,image,{poster_generation},YEScale poster_generation / default / nano-banana-2,,nano-banana-2,,,/task/submit,request,0.064000,0.000000,request,{},"{""size"": ""1K"", ""quality"": null, ""thinking"": ""minimal"", ""cost_source"": ""configured_tariff"", ""model_sizes"": {""seedream-5"": ""2K""}, ""routing_role"": ""default"", ""google_search"": ""disable"", ""point_formula"": ""usd * 8000 / 10000"", ""model_profiles"": {""seedream-5"": ""seedream_5""}, ""verified_async"": true, ""adapter_profile"": ""nano_banana_2"", ""fallback_models"": [""seedream-5""], ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.08, ""transient_terminal_error_codes"": [""rate_limit"", ""temporarily_unavailable""]}","{""size"": ""1K"", ""quality"": null, ""thinking"": ""minimal"", ""cost_source"": ""configured_tariff"", ""model_sizes"": {""seedream-5"": ""2K""}, ""routing_role"": ""default"", ""google_search"": ""disable"", ""point_formula"": ""usd * 8000 / 10000"", ""model_profiles"": {""seedream-5"": ""seedream_5""}, ""verified_async"": true, ""adapter_profile"": ""nano_banana_2"", ""fallback_models"": [""seedream-5""], ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.08, ""transient_terminal_error_codes"": [""rate_limit"", ""temporarily_unavailable""]}",t,t,t,100,manual_sql,ai_core_reset,2026-07-16 02:45:32.231162,2026-07-22 14:58:54.169322
34,4,yescale_task_image,poster_generation,image,{poster_generation},YEScale poster_generation / backup / seedream-5,,seedream-5,,,/task/submit,request,0.052000,0.000000,request,{},"{""size"": ""2K"", ""quality"": null, ""cost_source"": ""configured_tariff"", ""routing_role"": ""backup"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""seedream_5"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.065}","{""size"": ""2K"", ""quality"": null, ""cost_source"": ""configured_tariff"", ""routing_role"": ""backup"", ""point_formula"": ""usd * 8000 / 10000"", ""verified_async"": true, ""adapter_profile"": ""seedream_5"", ""verified_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""provider_estimated_cost_usd"": 0.065}",f,f,t,100,manual_sql,ai_core_reset,2026-07-16 02:45:32.231162,2026-07-22 14:58:54.169322
